timestamp,OutDCA_1,OutDCV_1,In1DCV_1,In2DCV_1,DCWh_1,In1DCA_1,In2DCA_1,OutDCA_2,OutDCV_2,In1DCV_2,In2DCV_2,DCWh_2,In1DCA_2,In2DCA_2,OutDCA_3,OutDCV_3,In1DCV_3,In2DCV_3,DCWh_3,In1DCA_3,In2DCA_3,OutDCA_4,OutDCV_4,In1DCV_4,In2DCV_4,DCWh_4,In1DCA_4,In2DCA_4,OutDCA_5,OutDCV_5,In1DCV_5,In2DCV_5,DCWh_5,In1DCA_5,In2DCA_5,OutDCA_46,OutDCV_6,In1DCV_6,In2DCV_6,DCWh_6,In1DCA_6,In2DCA_6,
1756296773692,0,749,573,575,0,0,0,0,751,522,527,0,0,-1,0,750,526,530,0,0,0,0,750,526,530,0,0,0,0,751,573,575,0,0,-1,,747,520,520,0,0,0,
1756296783889,0,749,573,576,0,0,0,0,751,524,529,0,0,-1,0,750,526,530,0,0,0,0,750,526,530,0,0,0,0,751,573,576,0,0,0,,747,520,521,0,0,0,
1756296793746,0,749,573,576,0,0,0,0,751,524,529,0,0,-1,0,750,526,530,0,0,0,0,750,526,530,0,0,0,0,751,573,576,0,0,0,,747,520,521,0,0,0,
1756296803811,0,749,573,576,0,0,0,0,751,524,529,0,0,-1,0,750,526,530,0,0,0,0,750,526,530,0,0,0,0,751,573,576,0,0,0,,747,520,521,0,0,0,
1756296813800,0,749,573,576,0,0,0,0,751,524,529,0,0,-1,0,750,526,530,0,0,0,0,750,526,530,0,0,0,0,751,573,576,0,0,0,,747,520,521,0,0,0,
1756296823785,0,749,573,576,0,0,0,0,751,524,529,0,0,-1,0,750,526,530,0,0,0,0,750,526,530,0,0,0,0,751,573,576,0,0,0,,747,520,521,0,0,0,
1756296833776,0,749,573,576,0,0,0,0,751,524,529,0,0,-1,0,750,526,530,0,0,0,0,750,526,530,0,0,0,0,751,573,576,0,0,0,,747,520,521,0,0,0,
1756296843808,0,749,574,576,0,0,0,0,751,524,529,0,0,-1,0,750,527,531,0,0,0,0,750,527,531,0,0,0,0,751,573,576,0,0,0,,747,521,521,0,0,0,
1756296853808,0,749,574,576,0,0,0,0,751,524,529,0,0,-1,0,750,527,531,0,0,0,0,750,527,531,0,0,0,0,751,573,576,0,0,0,,747,521,521,0,0,0,
1756296863794,0,749,574,576,0,0,0,0,751,524,529,0,0,-1,0,750,527,531,0,0,0,0,750,527,531,0,0,0,0,751,573,576,0,0,0,,747,521,521,0,0,0,
1756296873797,0,749,574,576,0,0,0,0,751,524,529,0,0,-1,0,750,527,531,0,0,0,0,750,527,531,0,0,0,0,751,573,576,0,0,0,,747,521,521,0,0,0,
1756296883811,0,749,574,576,0,0,0,0,751,524,529,0,0,-1,0,750,527,531,0,0,0,0,750,527,531,0,0,0,0,751,573,576,0,0,0,,747,521,521,0,0,0,
1756296893811,0,749,574,576,0,0,0,0,751,524,529,0,0,-1,0,750,527,531,0,0,0,0,750,527,531,0,0,0,0,751,573,576,0,0,0,,747,521,521,0,0,0,
1756296903826,0,749,575,577,0,0,0,0,751,524,529,0,0,-1,0,751,528,531,0,0,0,0,751,528,531,0,0,0,0,751,574,577,0,0,0,,747,521,521,0,0,0,
1756296913851,0,749,575,577,0,0,0,0,751,524,529,0,0,-1,0,751,528,531,0,0,0,0,751,528,531,0,0,0,0,751,574,577,0,0,0,,747,521,521,0,0,0,
1756296923830,0,749,575,577,0,0,0,0,751,524,529,0,0,-1,0,751,528,531,0,0,0,0,751,528,531,0,0,0,0,751,574,577,0,0,0,,747,521,521,0,0,0,
1756296933842,0,749,575,577,0,0,0,0,751,524,529,0,0,-1,0,751,528,531,0,0,0,0,751,528,531,0,0,0,0,751,574,577,0,0,0,,747,521,521,0,0,0,
1756296943853,0,749,575,577,0,0,0,0,751,524,529,0,0,-1,0,751,528,531,0,0,0,0,751,528,531,0,0,0,0,751,574,577,0,0,0,,747,521,521,0,0,0,
1756296953884,0,749,575,577,0,0,0,0,751,524,529,0,0,-1,0,751,528,531,0,0,0,0,751,528,531,0,0,0,0,751,574,577,0,0,0,,747,521,521,0,0,0,
1756296963864,0,749,575,577,0,0,0,0,751,526,531,0,0,-1,0,750,529,532,0,0,0,0,750,529,532,0,0,0,65.535,751,575,578,0,0,0,,747,523,523,0,0,0,
1756296973861,0,749,575,577,0,0,0,0,751,526,531,0,0,-1,0,750,529,532,0,0,0,0,750,529,532,0,0,0,65.535,751,575,578,0,0,0,,747,523,523,0,0,0,
1756296983864,0,749,575,577,0,0,0,0,751,526,531,0,0,-1,0,750,529,532,0,0,0,0,750,529,532,0,0,0,65.535,751,575,578,0,0,0,,747,523,523,0,0,0,
1756296993888,0,749,575,577,0,0,0,0,751,526,531,0,0,-1,0,750,529,532,0,0,0,0,750,529,532,0,0,0,65.535,751,575,578,0,0,0,,747,523,523,0,0,0,
1756297003896,0,749,575,577,0,0,0,0,751,526,531,0,0,-1,0,750,529,532,0,0,0,0,750,529,532,0,0,0,65.535,751,575,578,0,0,0,,747,523,523,0,0,0,
1756297013923,0,749,575,577,0,0,0,0,751,526,531,0,0,-1,0,750,529,532,0,0,0,0,750,529,532,0,0,0,65.535,751,575,578,0,0,0,,747,523,523,0,0,0,
