timestamp,OutDCA_1,OutDCV_1,In1DCV_1,In2DCV_1,DCWh_1,In1DCA_1,In2DCA_1,OutDCA_2,OutDCV_2,In1DCV_2,In2DCV_2,DCWh_2,In1DCA_2,In2DCA_2,OutDCA_3,OutDCV_3,In1DCV_3,In2DCV_3,DCWh_3,In1DCA_3,In2DCA_3,OutDCA_4,OutDCV_4,In1DCV_4,In2DCV_4,DCWh_4,In1DCA_4,In2DCA_4,OutDCA_5,OutDCV_5,In1DCV_5,In2DCV_5,DCWh_5,In1DCA_5,In2DCA_5,OutDCA_46,OutDCV_6,In1DCV_6,In2DCV_6,DCWh_6,In1DCA_6,In2DCA_6
1756504807645,-0.016,700,208,492,0,0,-1,65.523,702,253,448,0,0,-1,65.522,702,253,450,0,0,-1,65.522,702,253,450,0,0,-1,65.52,702,208,494,0,0,-1,,699,260,438,0,-1,-1
1756504817639,-0.016,700,208,492,0,0,-1,65.523,702,253,448,0,0,-1,65.522,702,253,450,0,0,-1,65.522,702,253,450,0,0,-1,65.52,702,208,494,0,0,-1,,699,260,438,0,-1,-1
1756504827666,-0.016,700,208,492,0,0,-1,65.523,702,253,448,0,0,-1,65.522,702,253,450,0,0,-1,65.522,702,253,450,0,0,-1,65.52,702,208,494,0,0,-1,,699,260,438,0,-1,-1
1756504837654,-0.016,700,208,492,0,0,-1,65.523,702,253,448,0,0,-1,65.522,702,253,450,0,0,-1,65.522,702,253,450,0,0,-1,65.52,702,208,494,0,0,-1,,699,260,438,0,-1,-1
1756504847650,-0.014,700,208,492,0,0,-1,65.524,702,253,448,0,0,-1,65.522,702,253,450,0,0,-1,65.522,702,253,450,0,0,-1,65.52,702,207,494,0,0,-1,,699,260,438,0,-1,-1
1756504857642,-0.014,700,208,492,0,0,-1,65.524,702,253,448,0,0,-1,65.522,702,253,450,0,0,-1,65.522,702,253,450,0,0,-1,65.52,702,207,494,0,0,-1,,699,260,438,0,-1,-1
1756504867669,-0.014,700,208,492,0,0,-1,65.524,702,253,448,0,0,-1,65.522,702,253,450,0,0,-1,65.522,702,253,450,0,0,-1,65.52,702,207,494,0,0,-1,,699,260,438,0,-1,-1
1756504877657,-0.014,700,208,492,0,0,-1,65.524,702,253,448,0,0,-1,65.522,702,253,450,0,0,-1,65.522,702,253,450,0,0,-1,65.52,702,207,494,0,0,-1,,699,260,438,0,-1,-1
1756504887681,-0.014,700,208,492,0,0,-1,65.524,702,253,448,0,0,-1,65.522,702,253,450,0,0,-1,65.522,702,253,450,0,0,-1,65.52,702,207,494,0,0,-1,,699,260,438,0,-1,-1
1756504897649,-0.014,700,208,492,0,0,-1,65.524,702,253,448,0,0,-1,65.522,702,253,450,0,0,-1,65.522,702,253,450,0,0,-1,65.52,702,207,494,0,0,-1,,699,260,438,0,-1,-1
